,City,Date,Text,Username
0,Weston,2022-09-29 01:51:53+00:00,"SO, FOR ALL OF YOU THINKING THAT THIS HURRICANE WAS CAUSED BY CLIMATE CHANGE,  YOU NEED TO RESEARCH THE SUN, MOON &amp; GRAVITY PULL!!!
THAT WHAT CAUSES WEATHER!!!
THE TIDES, HIGH TIDES, LOW TIDES &amp; KING TIDES!! THINK‼‼‼🙈🙈💩",colleenblueeyes
1,Davie,2022-09-27 20:49:02+00:00,"It’s been raining cats &amp; dogs since yesterday. First break this afternoon and there is some serious flooding. This is just from the outer bands of #Ian I can’t even fathom the true extent of Ian if this is just what the outer bands look like.
#southflorida #FLL #fortlauderdale https://t.co/37ZCiPvHVR",JenHemmerdinger
2,Davie,2022-09-29 00:07:23+00:00,"Hurricane Ian 5pm advisory shows storm weakening, but still extremely po... https://t.co/g3ViYlDjZu via @YouTube",Inka_Dageryager
3,St. Petersburg,2022-09-28 16:28:25+00:00,"@wusf is now in modified extended coverage of #HurricaneIan with reporting from @FloridaStorms, @wgcu - who are in the thick of the storm - and other Florida Public radio stations.",wusfschreiner
4,Tampa,2022-09-24 17:13:26+00:00,Tampa Bay could see very deadly storm surge in some scenarios. Please adhere to  local authorities and evacuation mandates if they are implemented.,AnthonyClose
5,Miami,2022-09-24 23:25:40+00:00,The Hurricanes (of the Manny Diaz era) are *back*.,Daniel22223333
6,Coral Springs,2022-09-29 17:18:15+00:00,I don’t understand why hunter needs to straighten his hair 4 times a day when we have literally been home inside all day because of the hurricane for like 3 days now,Cympyyy
7,Kissimmee,2022-09-28 13:53:23+00:00,Outer bands of Hurricane Ian on my inbound flight to Orlando last night. https://t.co/fIEyv6dxYD,ChrisLarson
8,Safety Harbor,2022-09-27 23:11:49+00:00,Lol this weather man is wild,iamJakeKurtz
9,Sanford,2022-09-29 07:31:22+00:00,"I’m sorry for the abrupt end to stream. Hurricane Ian says no more stream tonight.

🙏 Hoping power is good tomorrow for our 12 hour stream.",VahriTV
10,Sanford,2022-09-26 16:11:19+00:00,@nolanolegal @tawabawa @theskiff13 @202FSUNole Hurricane Lucy &gt;&gt;&gt;&gt;,law_nole99
11,Boynton Beach,2022-09-29 15:11:02+00:00,@ATTHelp so I see because of the storm there were outages all over the place. The irony is we didn’t lose power n our or Wi-Fi during the chaos of the hurricane &amp; our case mild tropical storm. Yet now our connection is spotty at best. Can someone get on this please?,dizeimage
12,Pembroke Pines,2022-09-24 06:21:59+00:00,00Z Euro thru Day 5 #Ian https://t.co/HHIqW6FxXQ,HurricanesJames
13,St. Petersburg,2022-09-27 00:08:54+00:00,"Jim Cantore is on Clearwater beach we are in big trouble. Ian Hits Tampa Bay 5 to 10' of storm surge in Gibsonton, Apollo Beach Florida.  Pray for Florida ! https://t.co/2NFO4Rg3Wp",ScottWa91433575
14,Lake Mary,2022-09-28 02:49:54+00:00,"me: I'm going to Orlando 😁

Hurricane Ian: me too!",aalimcclory
15,West Palm Beach,2022-09-28 00:56:18+00:00,Hurricane Ian update from the City of Riviera Beach https://t.co/ewZ3jqWKvP via @YouTube,Rivierabch
16,Orange City,2022-09-28 08:04:07+00:00,"4AM ET UPDATE: Hurricane #Ian remains Category 3 storm with maximum sustained winds of 120 mph. #Ian is moving NNE at 10mph and is located 85 miles WSW of Naples, Florida. @livenowfox https://t.co/6lg6IcWzAC",JoshBreslowTV
17,St. Petersburg,2022-09-26 23:47:33+00:00,"Use insulated cups for your adult libations because the ice lasts longer and doesn’t melt as quickly.
Follow me for more hurricane tips.  🤷🏼‍♀️🥴
#HurricaneIan",heatherleigh73
18,Safety Harbor,2022-09-28 12:54:30+00:00,"No jokes this morning, because there’s nothing funny about #Ian. Gulf Coast neighbors… let’s take care of each other today and in the days to come. For the rest of you outside of our beautiful coastal paradise here… please keep us in your thoughts. ✌️",panic4life23
